country,oecd,eu,eyes,scode,population_estimate,population_latest_cens,percintuse13,percintuse12,no_intusers13,no_intusers14,totalaccreqs13,totalaccreqs14,survindex13,survindex14,terrorindex14,terrorindex11,gdppc,homiciderate12,FHcl13inv,FHcl14inv,developing
Australia,1,0,1,AUL,23130931,21727158,83,79,19198673,19198673,5190,1851,27.033119,9.6412916,.41,1.72,67458,1.1,7,7,0
Austria,1,1,0,AUS,8479823,8401940,80.599998,80.029999,6834737,6834737,118,312,1.7264745,4.5649157,.23999999,1.408,50547,.89999998,7,7,0
Belgium,1,1,0,BEL,11182817,10296350,82.199997,80.699997,9192276,9192276,1556,1330,16.927256,14.46867,.52999997,.068999998,46878,1.6,7,7,0
Bulgaria,0,1,0,BUL,7265115,7364570,53.099998,51.900002,3857776,3857776,9,5,.23329504,.12960835,2.5799999,.741,7499,1.9,6,6,1
Canada,1,0,1,CAN,35158304,33476690,85.800003,83,30165825,30165825,598,365,1.9823757,1.2099785,.94999999,1.177,51958,1.6,7,7,0
Chile,1,0,0,CHL,17556815,15116435,66.5,61.400002,11675282,11675282,1120,445,9.5929165,3.8114712,2.5899999,2.6359999,15732,3.0999999,7,7,0
Croatia,0,1,0,CRO,4254420,4284889,66.699997,61.900002,2837698,2837698,14,21,.49335763,.74003643,.23,0,13608,1.2,6,6,0
Cyprus,0,1,0,CYP,861939,840407,65.5,60.700001,564570,564570,6,15,1.0627556,2.6568892,2.3,.048999999,25249,2,7,7,0
Czech Republic,1,1,0,CZR,10514272,10436560,74.099998,73.400002,7791076,7791076,246,151,.31574589,1.938115,.81,.52200001,19845,1,7,7,0
Denmark,1,1,0,DEN,5608784,5349212,94.599998,92.300003,5305910,5305910,313,143,5.8990827,2.6951082,.19,1.1289999,59832,.80000001,7,7,0
Estonia,1,1,0,EST,1317997,1294455,80,78.400002,1054398,1054398,24,20,2.2761812,1.8968177,.16,.15800001,18783,5,7,7,0
Finland,1,1,0,FIN,5375276,5375276,91.5,89.900002,4918378,4918378,114,78,.23178375,1.5858889,0,.068999998,49147,1.6,7,7,0
France,1,1,0,FRN,63794108,62765235,81.900002,81.400002,52247374,52247374,17165,9543,3.2853324,18.265032,2.6700001,1.7309999,42503,1,7,7,0
Germany,1,1,0,GMY,80651873,80219695,84,82.300003,67747573,67747573,19173,11180,2.8300645,16.502436,1.02,1.743,46269,.80000001,7,7,0
Greece,1,1,0,GRC,11027549,10816286,59.799999,55.099998,6594474,6594474,268,154,4.0640087,2.3352885,4.73,4.5970001,21956,1.7,6,6,0
Hungary,1,1,0,HUN,9893899,993628,72.599998,70.599998,7182971,7182971,317,132,4.4132156,1.8376797,.07,.27700001,13481,1.3,6,6,1
Iceland,1,0,0,ICE,323764,281154,96.5,96.199997,312432,312432,8,3,2.560555,.96020812,.079999998,0,47461,.30000001,7,7,0
Ireland,1,1,0,IRE,4597558,4588252,78.199997,76.900002,3595290,3595290,195,109,5.4237623,3.031744,3.0899999,1.456,50503,1.2,7,7,0
Israel,1,0,0,ISR,8059372,7412180,70.800003,70.800003,5706035,5706035,398,240,6.9750705,4.2060728,4.6599998,5.1550002,36051,1.8,6,6,0
Italy,1,1,0,ITA,60233948,59433744,58.5,55.799999,35236860,35236860,7086,4009,20.109625,11.377291,2.55,2.066,35926,.89999998,7,7,0
Japan,1,0,0,JPN,127339000,128057352,86.25,86.25,109829888,109829888,1311,556,1.1936642,.50623745,.0099999998,.059,38634,.30000001,7,7,0
Latvia,0,1,0,LAT,2012647,2070371,75.199997,73.099998,1513511,1513511,2,2,.13214311,.13214311,0,0,15375,4.6999998,6,6,0
Lithuania,0,1,0,LIT,2957689,3043429,68.5,67.199997,2026017,2026017,38,2,1.8756013,.098715857,0,0,15538,6.6999998,7,7,0
Luxembourg,1,1,0,LUX,543360,512353,93.800003,91.900002,509672,509672,104,89,22.171135,17.462221,,,110697,.80000001,7,7,0
Malta,0,1,0,MLT,423374,417432,68.900002,68.199997,291705,291705,274,167,93.930611,57.24968,,,22780,2.8,7,7,0
Mexico,1,0,0,MEX,118395054,112336538,43.5,39.799999,51501848,51501848,1179,742,2.2892382,1.440725,4.6599998,2.0079999,10307,21.5,5,5,0
Netherlands,1,1,0,NTH,16804432,16105285,94,92.900002,15796166,15796166,891,472,5.6406093,2.9880669,.57999998,2.0369999,50793,.89999998,7,7,0
New Zealand,1,0,1,NEW,4471100,4143282,82.800003,82,3702071,3702071,276,179,7.455287,4.8351316,0,.079000004,41556,.89999998,7,7,0
Norway,1,0,0,NOR,5080166,4979955,95,94.599998,4826158,4826158,263,187,5.4494696,3.874718,3.5699999,5.0310001,100819,2.2,7,7,0
Poland,1,1,0,POL,38514479,38044565,62.799999,62.299999,24187093,24187093,1560,938,6.4497209,3.8781013,0,0,13648,1.2,7,7,0
Portugal,1,1,0,POR,10457295,10282306,62.099998,60.299999,6493980,6493980,1578,1203,24.299427,18.524849,.23,1.1289999,21733,1.2,7,7,0
Romania,0,1,0,RUM,19981358,20039141,49.799999,45.900002,9950716,9950716,63,36,.63312024,.361783,0,0,9499,1.7,6,6,1
Slovakia,1,1,0,SLO,5413393,5397036,77.900002,76.699997,4217033,4217033,65,46,1.541368,1.0908142,0,0,18047,1.4,7,7,0
Slovenia,1,1,0,SLV,2059953,2058051,72.699997,68.300003,1497586,1497586,16,5,1.0683862,.33387068,0,0,23289,.69999999,7,7,0
South Korea,1,0,0,ROK,50219669,48580293,84.800003,84.099998,42586279,42586279,955,595,2.2425063,1.3971636,0,0,25977,.89999998,6,6,0
Spain,1,1,0,SPN,46617899,46815915,71.599998,69.800003,33378416,33378416,3910,2049,11.714157,6.1386976,1.84,3.086,29863,.80000001,7,7,0
Sweden,1,1,0,SWD,9600379,9482855,94.800003,93.199997,9101159,9101159,734,576,8.0649071,6.3288641,1.0700001,1.755,60430,.69999999,7,7,0
Switzerland,1,0,0,SWZ,8087875,8035391,86.699997,85.199997,7012188,7012188,550,208,7.8434868,2.966264,1.34,1.173,84815,.69999999,7,7,0
Turkey,1,0,0,TUR,76147624,74526000,46.299999,45.099998,35256350,35256350,12120,4471,34.376785,12.681403,5.98,5.2379999,10972,2.5999999,4,4,1
United Kingdom,1,1,1,UKG,64106779,63182000,89.800003,87.5,57567888,57567888,13473,7914,23.403673,13.747248,5.1700001,4.5089998,41787,1,7,7,0
United States,1,0,1,USA,313914040,308745538,84.199997,79.300003,264315622,264315622,69071,37805,26.132015,14.302976,4.73,3.566,53042,4.6999998,7,7,0
